1	A	DIS	a	2	np/n	ba(s:dcl, fa(np, * 	O	Agent
2	girl	CON	girl	4	n	* )	girl.n.01	Agent
3	is	NOW	be	4	(s:dcl\np)/(s:ng\np)	fa(s:dcl\np, * 	O	O
4	styling	EXG	style	0	(s:ng\np)/np	fa(s:ng\np, * 	style.v.02	V
5	her	HAS	female	6	np/n	fa(np, * 	female.n.02	Patient
6	hair	CON	hair	4	n	* )))))	hair.n.01	Patient

1	Kraft	ORG	kraft	2	n	ba(s:dcl, lx(np, n, * )	company.n.01	Agent
2	sold	EPS	sell	0	(s:dcl\np)/np	fa(s:dcl\np, * 	sell.v.01	V
3	Celestial~Seasonings	ORG	celestial~seasonings	2	n	rp(np, lx(np, n, * )	company.n.01	Theme
4	.	NIL	.	3	.	* ))))	O	O

1	9	QUC	9	2	n/n	ba(s:dcl, lx(np, n, fa(n, * 	O	Patient
2	people	CON	person	4	n	* ))	person.n.01	Patient
3	were	PST	be	4	(s:dcl\np)/(s:pss\np)	fa(s:dcl\np, * 	O	O
4	assassinated	EXS	assassinate	0	s:pss\np	rp(s:pss\np, ba(s:pss\np, * 	assassinate.v.01	V
5	by	REL	by	6	((s\np)\(s\np))/np	fa((s\np)\(s\np), * 	O	Agent
6	Raman~Raghav	PER	raman~raghav	4	n	lx(np, n, * )))	male.n.02	Agent
7	.	NIL	.	4	.	* ))))	O	O

1	Charles~de~Gaulle	PER	charles~de~gaulle	2	n	ba(s:dcl, lx(np, n, * )	male.n.02	Patient
2	died	EPS	die	0	s:dcl\np	ba(s:dcl\np, * 	die.v.01	V
3	in	REL	in	4	((s\np)\(s\np))/np	fa((s\np)\(s\np), * 	O	Time
4	1970	YOC	1970	2	n	rp(np, lx(np, n, * )	O	Time
5	.	NIL	.	4	.	* )))))	O	O

1	Our	HAS	speaker	2	np/n	rp(s:dcl, ba(s:dcl, fa(np, * 	O	Theme
2	plane	CON	plane	4	n	* )	plane.n.01	Theme
3	was	PST	be	4	(s:dcl\np)/(s:ng\np)	ba(s:dcl\np, fa(s:dcl\np, * 	O	O
4	flying	EXG	fly	0	s:ng\np	* )	fly.v.01	V
5	above	REL	above	7	((s\np)\(s\np))/np	fa((s\np)\(s\np), * 	O	Location
6	the	DEF	the	7	np/n	fa(np, * 	O	O
7	clouds	CON	cloud	4	n	* ))))	cloud.n.02	O
8	.	NIL	.	4	.	* ))	O	O

1	I	PRO	speaker	2	np	ba(s:dcl, * 	O	Agent
2	stretched	EPS	stretch~out	0	((s:dcl\np)/np)/pr	ba(s:dcl\np, fa(s:dcl\np, fa((s:dcl\np)/np, * 	stretch_out.v.03	V
3	out	REL	out	2	pr	* )	O	O
4	my	HAS	speaker	5	np/(n/pp)	fa(np, * 	O	Theme
5	hand	CON	hand	2	n/pp	* ))	hand.n.01	Theme
6	for	REL	for	8	((s\np)\(s\np))/np	fa((s\np)\(s\np), * 	O	Goal
7	the	DEF	the	8	np/n	rp(np, fa(np, * 	O	Goal
8	book	CON	book	2	n	* )	book.n.02	Goal
9	.	NIL	.	8	.	* )))))	O	O

1	I	PRO	speaker	2	np	ba(s:dcl, * 	O	Agent
2	came	EPS	come~upon	0	s:dcl\np	ba(s:dcl\np, ba(s:dcl\np, * 	come_upon.v.01	V
3	upon	REL	upon	6	((s\np)\(s\np))/np	fa((s\np)\(s\np), * 	O	Theme
4	an	DIS	an	6	np/n	fa(np, * 	O	Theme
5	old	IST	old	6	(n/pp)/(n/pp)	fa(n, fa(n/pp, * 	old.a.02	Theme
6	friend	ROL	friend	2	n/pp	* )	friend.n.01	Theme
7	of	REL	of	8	pp/np	fa(pp, * 	O	Theme
8	mine	PRO	speaker	6	np	* )))))	O	Theme
9	on	REL	on	11	((s:dcl\np)\(s:dcl\np))/np	fa((s:dcl\np)\(s:dcl\np), * 	O	Location
10	the	DEF	the	11	np/n	rp(np, fa(np, * 	O	Location
11	train	CON	train	2	n	* )	train.n.01	Location
12	.	NIL	.	11	.	* )))))	O	O

1	He	PRO	male	2	np	ba(s:dcl, * 	male.n.02	Agent
2	speaks	ENS	speak	0	(s:dcl\np)/np	fa(s:dcl\np, * 	speak.v.03	V
3	English	CON	english	4	n	ba(np, lx(np, n, * )	english.n.01	Theme
4	and	GRP	and	2	conj	* 	O	Theme
5	French	CON	french	4	n	rp(np, lx(np, n, * )	french.n.01	Theme
6	.	NIL	.	5	.	* ))))))	O	O

1	She	PRO	female	2	np	ba(s:dcl, * 	female.n.02	Agent
2	insulted	EPS	insult	0	(s:dcl\np)/np	fa(s:dcl\np, * 	insult.v.01	V
3	him	PRO	male	2	np	rp(np, * 	male.n.02	Theme
4	.	NIL	.	3	.	* ))))	O	O

1	Mary	PER	mary	3	n	rp(s:dcl, ba(s:dcl, lx(np, n, * )	female.n.02	Theme
2	was	PST	be	3	(s:dcl\np)/(s:pss\np)	ba(s:dcl\np, fa(s:dcl\np, * 	O	O
3	kidnapped	EXS	kidnap	0	s:pss\np	* )	kidnap.v.01	V
4	by	REL	by	5	((s\np)\(s\np))/np	fa((s\np)\(s\np), * 	O	Agent
5	pirates	ROL	pirate	3	n	lx(np, n, * ))))	pirate.n.02	Agent
6	.	NIL	.	3	.	* ))	O	O

1	Mr.	ROL	mr	2	n/n	ba(s:dcl, fa(np, ba(np/n, lx(np, n, fa(n, * 	mr.n.01
2	White	PER	white	3	n	* ))	male.n.02
3	's	HAS	's	4	(np/n)\np	* )	O
4	yard	CON	yard	6	n	* )	yard.n.02
5	is	NOW	be	6	(s:dcl\np)/(s:adj\np)	rp(s:dcl\np, fa(s:dcl\np, * 	O
6	large	DEG	large	0	s:adj\np	* )	large.a.01
7	.	NIL	.	6	.	* )))	O

1	I	PRO	speaker	3	np	ba(s:dcl, * 	O	Agent
2	just	IST	just	3	(s\np)/(s\np)	fa(s:dcl\np, * 	O	Manner
3	received	EPS	receive	0	(s:dcl\np)/np	fa(s:dcl\np, * 	receive.v.01	V
4	your	HAS	hearer	5	np/(n/pp)	fa(np, * 	O	Theme
5	letter	CON	letter	3	n/pp	rp(n/pp, * 	letter.n.01	Theme
6	.	NIL	.	5	.	* ))))))	O	O

1	I	PRO	speaker	2	np	ba(s:dcl, * 	O	Theme
2	was	EPS	be	0	(s:dcl\np)/pp	fa(s:dcl\np, * 	be.v.03	V
3	at	REL	at	4	pp/np	fa(pp, * 	O	Location
4	school	CON	school	2	n	rp(np, lx(np, n, * )	school.n.02	Location
5	.	NIL	.	4	.	* )))))	O	O

1	Tyler~Jackson	PER	tyler~jackson	4	n	ba(s:dcl, lx(np, n, * )	male.n.02	Recipient
2	has	NOW	have	4	(s:dcl\np)/(s:pt\np)	fa(s:dcl\np, * 	O	O
3	been	PFT	be	4	(s:pt\np)/(s:pss\np)	fa(s:pt\np, * 	O	O
4	sentenced	EXS	sentence	0	(s:pss\np)/pp	fa(s:pss\np, * 	sentence.v.01	V
5	to	REL	to	7	pp/np	fa(pp, * 	O	Value
6	18	QUC	18	7	n/n	rp(np, lx(np, n, fa(n, * 	O	Value
7	months	UOM	month	4	n	* ))	month.n.02	Value
